user_id,subscription_date,lifetime_email_open_rate,subscription_status,beauty_section_pageviews,fashion_section_pageviews,travel_section_pageviews,home_section_pageviews
4015854,11/29/17 18:30,0.06,Active,0,0,0,0
2321714,10/30/14 10:06,0.02,Active,0,0,0,0
4381081,10/12/18 8:06,0.11,Active,0,0,0,0
4389180,10/20/18 5:36,0.09,Active,0,0,0,0
2329813,11/7/14 7:30,0.01,Active,0,0,0,0
4255945,11/6/18 20:33,0.02,Active,0,0,0,0
1231381,2/19/13 17:16,0.06,Active,0,0,0,0
2263451,9/17/14 9:11,0.01,Active,0,0,0,0
2156556,7/16/14 17:52,0.01,Active,0,0,0,0
2943493,1/23/16 8:42,0.05,Active,0,0,0,0
3078549,4/7/16 15:20,0.07,Active,0,2,0,0
3662286,2/16/17 17:10,0.32,Active,0,0,0,0
3664813,2/19/17 20:09,0.03,Active,0,0,0,0
3619087,1/31/17 11:55,0.13,Active,0,0,0,0
1268617,3/4/13 0:54,0.02,Active,0,0,0,0
3437400,10/6/16 9:21,0.03,Active,0,0,0,0
1411768,4/21/17 6:25,0.3,Active,0,0,0,0
3662187,2/16/17 16:38,0.07,Active,0,0,0,0
3750793,4/17/17 11:23,0.61,Active,1,0,0,0
3718468,4/3/17 12:57,0.04,Active,2,6,0,1
1585729,9/10/13 19:04,0.03,Active,0,0,0,0
4202487,5/7/18 20:42,0.02,Active,0,0,0,0
2428343,12/18/14 10:05,0,Active,0,0,0,0
4525003,1/30/19 10:41,0.03,Active,0,0,0,0
2436527,12/22/14 21:46,0.04,Active,0,0,0,0
1691243,4/18/19 18:42,0.32,Active,0,0,0,0
1714052,11/4/13 10:19,0.01,Active,0,0,0,0
4555572,2/27/19 15:18,0.08,Lapsed,0,0,0,0
1837852,1/26/14 20:28,0,Active,0,0,0,0
4326120,7/31/18 1:36,0.65,Active,0,0,0,0
3835509,12/4/18 11:54,0.37,Active,0,0,0,0
4065123,1/26/18 17:54,0.08,Active,0,1,0,0
4078690,2/5/18 12:36,0.11,Active,0,0,0,0
4615837,4/27/19 16:54,0.11,Active,0,0,0,0
2866709,4/1/19 17:22,0.05,Active,0,0,0,0
1026488,10/9/13 5:17,0.94,Active,0,1,0,0
1019684,2/19/13 13:59,0.29,Active,0,1,0,1
996643,2/20/17 12:40,0.83,Active,0,0,0,0
1016012,2/19/16 21:20,0.63,Active,0,1,0,0
988252,3/20/16 9:44,0.92,Active,0,0,0,0
998279,5/24/17 10:59,0.72,Active,0,2,0,1
3990839,11/11/17 2:11,0.72,Lapsed,0,0,0,0
2674331,6/20/15 0:45,0.02,Active,0,0,0,0
1477226,7/4/13 9:40,0.15,Active,0,0,0,0
1401069,6/11/13 15:03,0.08,Active,0,0,0,0
1477454,7/4/13 11:05,0.4,Active,0,0,0,0
1611542,10/5/13 11:01,0.09,Active,0,0,0,0
1852464,2/4/14 10:29,0.11,Active,0,0,0,0
1879849,2/11/14 20:16,0.27,Active,0,0,0,0
1780225,1/1/14 10:18,0.06,Active,0,0,0,0
1266530,3/3/13 17:38,0.08,Active,0,0,0,0
1361946,5/29/13 13:44,0.42,Active,0,0,0,0
1407516,6/16/13 22:47,0.17,Active,0,0,0,0
1545458,8/6/13 11:06,0.43,Active,0,0,0,0
1225759,2/19/13 14:07,0.18,Active,0,0,0,0
1351494,5/22/13 13:23,0.55,Active,0,0,0,0
1374558,5/30/13 15:19,0.66,Active,0,1,0,1
1577612,9/4/13 22:24,0.29,Active,0,1,0,0
1651519,10/18/13 16:09,0.14,Active,0,0,0,0
1744807,11/19/13 18:45,0.31,Active,0,0,0,0
1483369,7/9/13 15:12,0.46,Active,0,0,0,0
1553757,8/6/13 22:01,0.16,Active,0,0,0,0
1272960,3/8/13 8:29,0.11,Active,0,0,0,0
1469327,7/3/13 11:07,0.2,Active,0,0,0,0
1524755,7/22/13 22:28,0.14,Active,0,1,0,0
1354352,5/23/13 19:22,0.66,Active,0,0,0,1
1546601,8/6/13 11:31,0.39,Active,0,1,0,0
1761253,12/4/13 16:13,0.05,Active,0,0,0,0
1624702,10/9/13 8:23,0.19,Active,0,0,0,0
1581299,2/25/14 15:14,0.38,Active,0,0,0,0
1937301,3/2/14 16:16,0.74,Active,0,0,0,0
1539205,7/28/13 1:52,0.08,Active,0,0,0,0
1387033,6/4/13 11:30,0.85,Active,0,0,0,0
1459864,7/2/13 17:31,0.13,Active,0,0,0,0
1444585,6/25/13 20:36,0.21,Active,0,0,0,1
1682071,10/23/13 8:10,0.25,Active,0,3,0,0
1613001,10/6/13 16:06,0.18,Active,0,0,0,0
1703556,10/27/13 19:35,0.13,Active,0,2,0,0
1855371,2/5/14 11:09,0.44,Active,0,0,0,0
1634330,10/14/13 0:34,0.22,Active,0,0,0,0
1972291,3/18/14 9:09,0.13,Active,0,0,0,0
1762711,12/6/13 9:53,0.08,Active,0,0,0,0
1603192,9/30/13 10:34,0.15,Active,0,0,0,1
1820043,1/24/14 8:18,0.09,Active,0,0,0,0
1896717,2/14/14 10:40,0.34,Active,0,0,0,0
2074519,6/3/14 11:52,0.06,Active,0,0,0,1
2085933,6/17/14 10:26,0.22,Active,0,0,0,0
2145009,7/12/14 15:18,0.46,Active,0,0,0,0
2150428,7/14/14 20:45,0.17,Active,0,0,0,0
2279503,9/19/14 21:20,0.16,Active,0,0,0,0
2552227,3/10/15 15:03,0.07,Active,0,0,0,0
1712511,2/25/15 8:37,0.08,Active,0,1,0,0
2597968,4/14/15 16:11,0.53,Active,0,0,0,0
2848293,10/17/15 18:34,0.09,Active,0,0,0,0
2817442,10/7/15 9:23,0.38,Active,0,0,0,1
2099104,6/19/14 18:01,0.16,Active,0,0,0,0
2483459,2/12/15 14:07,0.08,Active,0,0,0,0
2130322,8/26/15 9:16,0.26,Active,0,0,0,0
2171356,7/31/14 9:29,0.05,Active,0,0,0,0
2020845,4/30/14 21:46,0.12,Active,0,0,0,0
2350747,11/22/14 15:21,0.08,Lapsed,0,0,0,0
2512800,2/24/15 11:58,0.09,Active,0,0,0,0
2614519,4/21/15 13:50,0.13,Active,0,0,0,0
2564595,3/22/15 10:41,0.06,Active,0,0,0,0
2813113,10/6/15 12:35,0.96,Active,0,0,0,0
1991328,3/26/14 22:23,0.29,Active,0,0,0,0
2333857,11/10/14 13:34,0.09,Active,1,1,0,1
2015157,4/29/14 20:00,0.38,Active,0,0,0,0
2188769,8/12/14 9:04,0.44,Active,0,1,0,0
2188883,8/12/14 9:26,0.12,Active,0,0,0,0
2022302,5/1/14 14:00,0.24,Active,0,0,0,0
2241405,9/12/14 14:46,0.15,Active,0,1,0,0
2737007,8/10/15 20:57,0.03,Active,0,1,0,0
2675012,6/21/15 17:34,0.12,Active,0,0,0,0
1325208,4/24/13 11:12,0.67,Active,0,0,0,0
1406077,6/16/13 16:08,0.31,Active,0,0,0,0
1411576,6/18/13 12:55,0.77,Active,0,0,0,0
1477282,7/4/13 10:02,0.69,Active,0,0,0,0
1463706,7/2/13 22:40,0.4,Active,0,0,0,0
2844881,10/15/15 10:08,0,Active,0,0,0,0
